Anonymous_ID,Filename,Relative_Path,Extension,Image_Format,Image_Mode,Channels,Bit_Depth,File_Size_Bytes,File_Size_KB,File_Size_MB,Width,Height,Aspect_Ratio,Total_Pixels,Intensity_Min,Intensity_Max,Intensity_Range_MaxMin,Intensity_Mean,Intensity_Median,Intensity_SD,Intensity_Q1,Intensity_Q3,Intensity_IQR,Intensity_P1,Intensity_P5,Intensity_P95,Intensity_P99,Robust_Range_P95_P5,Robust_Range_P99_P1,Entropy,RMS_Contrast,Laplacian_Variance,Dark_Pixel_Ratio_Percent,Bright_Pixel_Ratio_Percent
P0001,P0001_01.jpg,P0001_01.jpg,.jpg,JPEG,L,1,8-bit,488696,477.242,0.46606,1368,2434,0.562038,3329712,0.0,255.0,255.0,67.17091448149269,0.0,83.55727351706022,0.0,151.0,151.0,0.0,0.0,213.0,241.0,213.0,241.0,4.513460159301758,83.55727351706022,179.37777507355742,55.43101024953509,0.9192086282537348
P0001,P0001_02.jpg,P0001_02.jpg,.jpg,JPEG,L,1,8-bit,594540,580.605,0.567,1384,2394,0.578112,3313296,0.0,255.0,255.0,84.0847787218528,24.0,83.73440667185248,9.0,165.0,156.0,0.0,0.0,222.0,250.0,222.0,250.0,6.979880332946777,83.73440667185248,98.02891292055358,33.44612132450587,1.787917529855467
P0002,P0002_01.jpg,P0002_01.jpg,.jpg,JPEG,L,1,8-bit,757879,740.116,0.72277,1540,2352,0.654762,3622080,0.0,255.0,255.0,103.85648025443943,75.0,59.442488963572266,59.0,158.0,99.0,18.0,38.0,213.0,242.0,175.0,224.0,7.372173309326172,59.442488963572266,118.17642049249213,0.5152564272462232,0.9952844774273346
P0002,P0002_02.jpg,P0002_02.jpg,.jpg,JPEG,L,1,8-bit,702800,686.328,0.67024,1344,2170,0.619355,2916480,0.0,255.0,255.0,96.27669587996489,65.0,85.69109276533702,20.0,181.0,161.0,0.0,0.0,237.0,255.0,237.0,255.0,7.2008161544799805,85.69109276533702,237.86572463789182,13.846280447662936,3.9169135396093924
P0003,P0003_01.jpg,P0003_01.jpg,.jpg,JPEG,L,1,8-bit,485468,474.09,0.46298,1708,2408,0.709302,4112864,0.0,255.0,255.0,48.53510862503598,13.0,67.7432751728566,4.0,67.0,63.0,0.0,0.0,193.0,215.0,193.0,215.0,6.344944000244141,67.7432751728566,100.50981984002235,49.53759715857369,0.08150038513308488
P0003,P0003_02.jpg,P0003_02.jpg,.jpg,JPEG,L,1,8-bit,659166,643.717,0.62863,1496,2250,0.664889,3366000,0.0,255.0,255.0,102.94227658942364,68.0,72.3986196320962,34.0,180.0,146.0,15.0,25.0,209.0,227.0,184.0,212.0,7.1853532791137695,72.3986196320962,330.835420904441,0.5488710635769459,0.23526440879382055
P0003,P0003_03.jpg,P0003_03.jpg,.jpg,JPEG,L,1,8-bit,486805,475.396,0.46425,1844,2282,0.808063,4208008,0.0,255.0,255.0,52.43589223214405,13.0,68.50940371743029,7.0,90.0,83.0,0.0,2.0,193.0,212.0,191.0,212.0,6.3001556396484375,68.50940371743029,71.66421433998445,49.90886424170296,0.0794200011026595
P0003,P0003_04.jpg,P0003_04.jpg,.jpg,JPEG,L,1,8-bit,466296,455.367,0.44469,1660,2218,0.748422,3681880,0.0,255.0,255.0,51.13721196779906,14.0,67.34171393762308,6.0,79.0,73.0,0.0,1.0,191.0,212.0,190.0,212.0,6.422512054443359,67.34171393762308,118.63786790426556,45.665746846719614,0.07545058502721436
P0004,P0004_01.jpg,P0004_01.jpg,.jpg,JPEG,L,1,8-bit,607109,592.88,0.57898,2032,2582,0.786987,5246624,0.0,255.0,255.0,41.88428844910556,10.0,59.77905373584347,9.0,48.0,39.0,0.0,1.0,175.0,197.0,174.0,197.0,5.521726608276367,59.77905373584347,60.55460948905863,65.64747159316163,0.04570558134144928
P0004,P0004_02.jpg,P0004_02.jpg,.jpg,JPEG,L,1,8-bit,641879,626.835,0.61214,2032,2497,0.813777,5073904,0.0,255.0,255.0,58.12884792459613,14.0,70.26454101563104,12.0,102.0,90.0,0.0,3.0,203.0,225.0,200.0,225.0,6.069126605987549,70.26454101563104,65.21279078467794,26.205344050656066,0.10934381099839492
