Variable,N,Mean,SD,Min,Q1,Median,Q3,Max
File_Size_KB,898,599.8567305122494,162.13892023523093,174.57,515.2684999999999,585.4545,652.6777500000001,2336.826
File_Size_MB,898,0.5857975389755011,0.15833883221335893,0.17048,0.503195,0.5717300000000001,0.637385,2.28206
Width,898,2069.759465478842,299.3301850681176,1148.0,2032.0,2032.0,2172.0,3308.0
Height,898,2238.099109131403,428.17857496801,804.0,2184.0,2439.0,2439.0,3176.0
Aspect_Ratio,898,0.9893213596881961,0.3690067906190976,0.485445,0.833128,0.833128,0.91571675,2.540305
Total_Pixels,898,4590596.365256125,973335.0100839104,1050312.0,3931668.0,4956048.0,4956048.0,9034148.0
Intensity_Min,898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intensity_Max,898,254.56570155902006,3.2141381530527737,210.0,255.0,255.0,255.0,255.0
Intensity_Range_MaxMin,898,254.56570155902006,3.2141381530527737,210.0,255.0,255.0,255.0,255.0
Intensity_Mean,898,54.66195563685593,12.908110324605966,20.67374529060251,45.557542320009816,52.42739384539183,62.32157146209288,103.85648025443943
Intensity_Median,898,19.903118040089087,12.474302292783218,0.0,13.0,17.0,25.0,85.0
Intensity_SD,898,62.94141933365358,8.426999926574833,29.56078155675585,57.06786748926542,62.65090488155096,68.64660194590208,87.27713425217256
Intensity_Q1,898,13.175946547884188,9.028025264941979,0.0,8.0,12.0,18.0,59.0
Intensity_Q3,898,84.20378619153675,38.93163128228551,10.0,50.25,81.0,112.0,185.0
Intensity_IQR,898,71.02783964365256,38.867701510968175,3.0,40.0,68.0,100.0,171.0
Intensity_P1,898,1.8151447661469933,4.680817138829249,0.0,0.0,0.0,1.0,42.0
Intensity_P5,898,5.708240534521158,7.17511174560526,0.0,0.0,3.0,8.0,47.0
Intensity_P95,898,186.75278396436525,17.070028172387982,93.0,175.0,187.0,199.0,237.0
Intensity_P99,898,213.56570155902006,16.59050458462226,137.0,202.0,213.0,225.0,255.0
Robust_Range_P95_P5,898,181.0445434298441,17.704442635486405,84.0,169.0,181.0,193.0,237.0
Robust_Range_P99_P1,898,211.75055679287306,16.425913016290238,134.0,200.0,211.0,223.0,255.0
Entropy,898,6.116760890839625,0.6376662492626185,2.968625545501709,5.785212874412537,6.175962448120117,6.511406660079956,7.554521083831787
RMS_Contrast,898,62.94141933365358,8.426999926574833,29.56078155675585,57.06786748926542,62.65090488155096,68.64660194590208,87.27713425217256
Laplacian_Variance,898,98.245938018889,83.25942119059897,22.04216644592435,51.17834774868595,65.98548064713134,113.6470854942064,760.1740486861769
Dark_Pixel_Ratio_Percent,898,30.999219578253605,21.793224560576597,0.09015247632791289,9.765493889093642,29.880249091562288,49.8198959323928,75.38577108212027
Bright_Pixel_Ratio_Percent,898,0.24750855177570835,0.3779602212585521,0.0007263852166080716,0.06609462144002237,0.1027052217007399,0.2663130155554365,3.9169135396093924
